epoch,;train/box_loss,;train/obj_loss,;train/cls_loss,;metrics/precision,;metrics/recall,;metrics/mAP_0.5,;metrics/mAP_0.5:0.95,;val/box_loss,;val/obj_loss,;val/cls_loss,;x/lr0,;x/lr1,;x/lr2
66;0.032623,;0.0092037,;0;0.92106,;0.83201,;0.88876,;0.45592,;0.034869,;0.0082282,;0;0.0089275,;0.0089275,;0.0089275
67;0.032892,;0.0095311,;0;0.91501,;0.82881,;0.88336,;0.44538,;0.035418,;0.0081943,;0;0.008911,;0.008911,;0.008911
68;0.032664,;0.0093285,;0;0.93162,;0.81848,;0.88182,;0.44621,;0.035146,;0.008029,;0;0.0088945,;0.0088945,;0.0088945
69;0.032005,;0.0095471,;0;0.92992,;0.83876,;0.89445,;0.45933,;0.034292,;0.0079292,;0;0.008878,;0.008878,;0.008878
70;0.032028,;0.0093103,;0;0.92058,;0.82739,;0.8855,;0.44465,;0.034883,;0.0078877,;0;0.0088615,;0.0088615,;0.0088615
71;0.031984,;0.0093648,;0;0.92051,;0.83144,;0.88939,;0.46909,;0.033487,;0.0077492,;0;0.008845,;0.008845,;0.008845
72;0.032286,;0.0094275,;0;0.92975,;0.82982,;0.8876,;0.46505,;0.035164,;0.0078529,;0;0.0088285,;0.0088285,;0.0088285
73;0.032245,;0.0096436,;0;0.92087,;0.82982,;0.8822,;0.45639,;0.034574,;0.0079895,;0;0.008812,;0.008812,;0.008812
74;0.031099,;0.0094505,;0;0.91432,;0.84846,;0.89509,;0.46884,;0.033332,;0.0079108,;0;0.0087955,;0.0087955,;0.0087955
75;0.032083,;0.0094689,;0;0.91871,;0.84347,;0.89853,;0.46948,;0.033615,;0.0077688,;0;0.008779,;0.008779,;0.008779
76;0.031908,;0.0093493,;0;0.92305,;0.82496,;0.88445,;0.45907,;0.035559,;0.0079633,;0;0.0087625,;0.0087625,;0.0087625
77;0.031094,;0.0093624,;0;0.91528,;0.84051,;0.88663,;0.46535,;0.033904,;0.0078501,;0;0.008746,;0.008746,;0.008746
78;0.032399,;0.0091503,;0;0.9269,;0.8436,;0.89344,;0.4567,;0.034452,;0.0079047,;0;0.0087295,;0.0087295,;0.0087295
79;0.031881,;0.0094343,;0;0.91937,;0.84441,;0.89512,;0.46894,;0.03355,;0.0078277,;0;0.008713,;0.008713,;0.008713
80;0.031897,;0.0094653,;0;0.90957,;0.84773,;0.89032,;0.4513,;0.034267,;0.0079924,;0;0.0086965,;0.0086965,;0.0086965
81;0.031324,;0.0093347,;0;0.93304,;0.83567,;0.89394,;0.45279,;0.035142,;0.0078674,;0;0.00868,;0.00868,;0.00868
82;0.031063,;0.0090672,;0;0.92143,;0.85008,;0.90291,;0.48404,;0.034226,;0.0076391,;0;0.0086635,;0.0086635,;0.0086635
83;0.032586,;0.0092765,;0;0.92369,;0.84765,;0.89906,;0.46572,;0.034268,;0.007887,;0;0.008647,;0.008647,;0.008647
84;0.031765,;0.0093019,;0;0.92743,;0.85494,;0.89995,;0.47979,;0.033756,;0.0077856,;0;0.0086305,;0.0086305,;0.0086305
85;0.030514,;0.0094897,;0;0.90311,;0.84599,;0.89532,;0.47997,;0.032577,;0.0076188,;0;0.008614,;0.008614,;0.008614
86;0.030263,;0.0092357,;0;0.92837,;0.84927,;0.90029,;0.47381,;0.03359,;0.0078471,;0;0.0085975,;0.0085975,;0.0085975
87;0.030981,;0.0089996,;0;0.93173,;0.85008,;0.89971,;0.48052,;0.034555,;0.00768,;0;0.008581,;0.008581,;0.008581
88;0.031602,;0.0092457,;0;0.93673,;0.82789,;0.89513,;0.477,;0.033604,;0.0076591,;0;0.0085645,;0.0085645,;0.0085645
89;0.030574,;0.0092401,;0;0.94443,;0.82172,;0.89797,;0.47474,;0.033705,;0.0078154,;0;0.008548,;0.008548,;0.008548
90;0.03028,;0.0091629,;0;0.93507,;0.8517,;0.90387,;0.4888,;0.03316,;0.0075748,;0;0.0085315,;0.0085315,;0.0085315
91;0.031004,;0.0090511,;0;0.93345,;0.82977,;0.88589,;0.46597,;0.033449,;0.0079962,;0;0.008515,;0.008515,;0.008515
92;0.030274,;0.0092852,;0;0.92161,;0.84794,;0.89459,;0.48089,;0.032664,;0.0077323,;0;0.0084985,;0.0084985,;0.0084985
93;0.030949,;0.0091038,;0;0.93217,;0.82658,;0.89349,;0.47494,;0.03312,;0.0077607,;0;0.008482,;0.008482,;0.008482
